Full Name, Brand, Category Name, Properties, MRP, Discount
Fevigum Fevistick 8 g, Fevigum, Adhesive, 8 g, 25, 0
Fevigum Fevistick 22 g, Fevigum, Adhesive, 22 g, 50, 0
Fevi kwik Adhesive 3 g, Fevi kwik, Adhesive, 3 g, 25, 0
Fevicol Mr Easy Flow White Adhesive 50 g, Fevicol, Adhesive, 50 g, 20, 0
Fevicol Mr Easy Flow White Adhesive 100 g, Fevicol, Adhesive, 100 g, 40, 0
Fevicol Mr Easy Flow White Adhesive 200 g, Fevicol, Adhesive, 200 g, 70, 0
Fevicol All Fix Clear & Non-Staining All Purpose Adhesive 20 ml, Fevicol, Adhesive, 20 ml, 30, 0
Fevicol Shoe Fix Shoe Repair Adhesive 20 ml, Fevicol, Adhesive, 20 ml, 30, 0
Fevicol Mr White Adhesive 25 g, Fevicol, Adhesive, 25 g, 10, 0
Fevicryl No Stitch Fabric Glue 20 ml, Fevicryl, Adhesive, 20 ml, 19, 0
M-seal Phataphat 100 g, M-seal, Adhesive, 100 g, 30, 0
Fevi kwik Adhesive 3 g 1 Pc, Fevi kwik, Adhesive, 1 Pc, 25, 0
M-seal Regular Epoxy Compound 100 g, M-seal, Adhesive, 100 g, 30, 0
Fevibond Tube 40 ml, Fevibond, Adhesive, 40 ml, 25, 0
Fevibond Tube 100 ml, Fevibond, Adhesive, 100 ml, 45, 0
ITC Classmate Pen B First Stick Blue Pack of 5 Nos 1 Pc, ITC Classmate, Adhesive, 1 Pc, 25, 0
Fevigum Lime Fevigum 200 ml, Fevigum, Adhesive, 200 ml, 30, 0
Fevitite Rapid 13 g, Fevitite, Adhesive, 13 g, 40, 0
Fevitite Rapid 36 g, Fevitite, Adhesive, 36 g, 80, 0
Fevigum Fevi Stik Plus Highlighter 8 g, Fevigum, Adhesive, 8 g, 50, 0
M-seal Super Expoxy Putty 1 Pc, M-seal, Adhesive, 1 Pc, 10, 0
Hypercity 3G Double Side Foam Tape 3M 1 pc, Hypercity, Adhesive, 1 pc, 25, 0
