Full Name, Brand, Category Name, Properties, MRP, Discount
Himalaya Gentle Baby Wipes Extra Soft 24 pcs, Himalaya, Baby Wipes, 24 pcs, 75, 0
Himalaya Gentle Baby Wipes Extra Soft 72 pcs, Himalaya, Baby Wipes, 72 pcs, 175, 0
Johnson & Johnson Baby Skincare Cloth Wipes 20 Nos, Johnson & Johnson, Baby Wipes, 20 Nos, 65, 0
Johnson & Johnson Baby Skincare Cloth Wipes 80 Nos, Johnson & Johnson, Baby Wipes, 80 Nos, 220, 0
Mamy Poko Baby Wipes Purified Water 20 Sheets, Mamy Poko, Baby Wipes, 20 Sheets, 49, 0
Mamy Poko Baby Wipes Purified Water 100 Nos, Mamy Poko, Baby Wipes, 100 Nos, 195, 0
Johnson & Johnson Baby Skin Care Wipes Super Saver Pack 2 x 80 Wipes, Johnson & Johnson, Baby Wipes, 2 x 80 Wipes, 380, 0
Himalaya Soothing Baby Wipes 24 Pcs, Himalaya, Baby Wipes, 24 Pcs, 75, 0
Himalaya Soothing Baby Wipes 2 X 72 Wipes, Himalaya, Baby Wipes, 2 X 72 Wipes, 299, 0
Chicco Salviettine Detergenti Soft Cleansing Wipes 72 pc, Chicco, Baby Wipes, 72 pc, 219, 0
Chicco Salviettine Detergenti Soft Cleansing Wipes 72x2  Pc, Chicco, Baby Wipes, 72x2  Pc, 299, 0
Huggies Natural Baby Wipes 80 Nos, Huggies, Baby Wipes, 80 Nos, 215, 0
Mamy Poko Soft Baby Wipes With Fragrance 52 Sheets, Mamy Poko, Baby Wipes, 52 Sheets, 99, 0
