Full Name, Brand, Category Name, Properties, MRP, Discount
Lakme Insta Eye Liner Black 12 X 9 ml, Lakme, Eye Care, 12 X 9 ml, 110, 0
Hypercity BVC Tweety Glass 10 Pc 1 Pc, Hypercity, Eye Care, 1 Pc, 39, 0
Lakme Absolute Forever Silk Eyeliner Blacklast 0.28 g, Lakme, Eye Care, 0.28 g, 450, 0
Lakme Absolute Gel Stylist Nail Polish Electric Orange 15 ml, Lakme, Eye Care, 15 ml, 400, 0
Lakme 9 to 5 Eye Color Quartet Smokey Glam 7 g, Lakme, Eye Care, 7 g, 600, 0
Lakme Absolute Forever Silk Eyeliner  Electric Violet 0.28 g, Lakme, Eye Care, 0.28 g, 425, 0
Lakme Absolute Forever Silk Eyeliner Blue Cosmos 0.28 g, Lakme, Eye Care, 0.28 g, 450, 0
Lakme Absolute Forever Silk Eyeliner Jaded Mint 0.28 g, Lakme, Eye Care, 0.28 g, 450, 0
Lakme 9 To 5 Eye Color Quartet Eye Shadow Silk Route 7 g, Lakme, Eye Care, 7 g, 550, 0
Lakme Absolute Gloss Artist Eye Liner Black 2.5 ml, Lakme, Eye Care, 2.5 ml, 600, 0
Lakme 9 to 5 Eye Color Quartet Eye Shadow Tanjore Rush 7 g, Lakme, Eye Care, 7 g, 550, 0
Lakme Absolute Illuminating Eye Shadow Palette Silver 9 g, Lakme, Eye Care, 9 g, 995, 0
Lakme Absolute Illuminating Eye Shadow Palette Gold 9 g, Lakme, Eye Care, 9 g, 995, 0
Lakme Absolute Shine Liquid Eye Liner Black 4 g, Lakme, Eye Care, 4 g, 350, 0
Lakme 9 To 5 Eye Color Quartet Desert Rose 7 g, Lakme, Eye Care, 7 g, 550, 0
Lakme Absolute Shine Line Teal 4.5 ml, Lakme, Eye Care, 4.5 ml, 290, 0
Lakme Absolute Drama Stylist Eye Shadow Duos Lime Time 3.5 g, Lakme, Eye Care, 3.5 g, 650, 0
Lakme Absolute Drama Stylist Eye Shadow Duos Purple Haze 3.5 g, Lakme, Eye Care, 3.5 g, 650, 0
Lakme Absolute Drama Stylist Shadow Duos Blue Shadow 3.5 g, Lakme, Eye Care, 3.5 g, 650, 0
ReNu Multipurpose Solution 120 ml, ReNu, Eye Care, 120 ml, 205, 0
ReNu Multipurpose Solution 355 ml, ReNu, Eye Care, 355 ml, 385, 0
ReNu Multipurpose Solution 500 ml, ReNu, Eye Care, 500 ml, 465, 0
Fresh Coconut Regular 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 20, 0
Fresh Beetroot 500 g, Fresh, Fresh Vegetables, 500 g, 21, 0
Fresh Mint Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7.5, 0
Fresh Bitter Gourd 750 g, Fresh, Fresh Vegetables, 750 g, 45, 0
Fresh Garlic Whole Regular 300 g, Fresh, Fresh Vegetables, 300 g, 45, 0
Fresh Green Peas 500 g, Fresh, Fresh Vegetables, 500 g, 110, 0
Fresh Basket Broccoli 500 g, Fresh Basket, Fresh Vegetables, 500 g, 120, 0
Fresh Colacasia Arvi Roots 250 g, Fresh, Fresh Vegetables, 250 g, 17, 0
Fresh Gooseberry Indian Amla 250 g, Fresh, Fresh Vegetables, 250 g, 30, 0
Fresh Mushroom Button Unit Pack 1 pc, Fresh, Fresh Vegetables, 1 pc, 46, 0
Fresh Cluster Beans 250 g, Fresh, Fresh Vegetables, 250 g, 14.5, 0
Fresh Basket Potato 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 28, 0
Fresh Brinjal Long White 500 g, Fresh, Fresh Vegetables, 500 g, 19, 0
Fresh Drumsticks 250 g, Fresh, Fresh Vegetables, 250 g, 20, 0
Fresh Amranths Red Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7, 0
Fresh Pointer Gourd (Parval) 500 g, Fresh, Fresh Vegetables, 500 g, 60, 0
Fresh Basket Onion Packed 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 20, 0
Fresh Basket Onion Packed 5 Kg, Fresh Basket, Fresh Vegetables, 5 Kg, 95, 0
Fresh Avocado 500 g, Fresh, Fresh Vegetables, 500 g, 160, 0
Fresh European (English) Cucumber 500 g, Fresh, Fresh Vegetables, 500 g, 24, 0
Fresh Snake Gourd 500 g, Fresh, Fresh Vegetables, 500 g, 27, 0
