Full Name, Brand, Category Name, Properties, MRP, Discount
Himalaya Purifying Neem Face Pack 50 g, Himalaya, Face Pack, 50 g, 70, 0
Himalaya Purifying Neem Face Pack 100 g, Himalaya, Face Pack, 100 g, 130, 0
Biotique Bio Mud Ageless Firming n Revitalizing Face Pack 85 g, Biotique, Face Pack, 85 g, 199, 0
Biotique Bio Myristica Spot Correcting Anti Acne Face Pack 25 g, Biotique, Face Pack, 25 g, 199, 0
Biotique Bio Fruit Flawless Whitening Face Pack 85 g, Biotique, Face Pack, 85 g, 199, 0
Biotique Bio Clove Purifying Anti Blemish Face Pack 85 g, Biotique, Face Pack, 85 g, 199, 0
Himalaya Fairness Face Pack 100 g, Himalaya, Face Pack, 100 g, 130, 0
Jovees Ayurved Antiseptic Anti Acne Face Pack Tea Tree & Clove 120 g, Jovees, Face Pack, 120 g, 195, 0
Lotus Clay White Black Clay Skin Whitening Face Pack 120 g, Lotus, Face Pack, 120 g, 295, 0
Lotus Frujuvenate Fruit Pack 120 g, Lotus, Face Pack, 120 g, 295, 0
Biotique Bio Milk Protein Whitening n Rejuvenating Face Pack 60 g, Biotique, Face Pack, 60 g, 199, 0
Jovees Pearl Whitening Face Pack 60 g, Jovees, Face Pack, 60 g, 225, 0
VLCC Whitening Face Pack 100 g, VLCC, Face Pack, 100 g, 550, 0
Lotus Tea Tree Clarifying Face Pack 120 g, Lotus, Face Pack, 120 g, 295, 0
Baba Ramdev Patanjali Aloe Multani Mitti Face Pack 60 g, Baba Ramdev Patanjali, Face Pack, 60 g, 60, 0
Lotus Safe Sun SPF 40 50 g, Lotus, Face Pack, 50 g, 345, 0
Lotus Safe Sun SPF 40 100 g, Lotus, Face Pack, 100 g, 445, 0
Lakme Absolute Bi-Phased Makeup Remover 60 ml, Lakme, Face Pack, 60 ml, 225, 0
Jovees Active Protein Youth Face Pack 120 g, Jovees, Face Pack, 120 g, 155, 0
