Full Name, Brand, Category Name, Properties, MRP, Discount
Nestle Cerelac Multi Grain 5 Fruit 4 Stage Infant Cerel 300 g, Nestle, Infant Cereal, 300 g, 216, 0
Nestle Lactogen 2 No. 400 g, Nestle, Infant Cereal, 400 g, 278, 0
Nestle Nan Pro 2 No. 400 g, Nestle, Infant Cereal, 400 g, 490, 0
Nestle Nan Pro 3 No. 400 g, Nestle, Infant Cereal, 400 g, 485, 0
Nestle Nan Pro No 1 400 g, Nestle, Infant Cereal, 400 g, 515, 0
Nestle Cerelac Fortified Baby Meal With Milk Multi Grain Dal Veg 4 Stage 300 g, Nestle, Infant Cereal, 300 g, 205, 0
Nestle Lactogen 3 No. 450 g, Nestle, Infant Cereal, 450 g, 270, 0
Nestle Lactogen 4 No. 400 g, Nestle, Infant Cereal, 400 g, 264, 0
Nestle Nan Pro 4 No. 400 g, Nestle, Infant Cereal, 400 g, 480, 0
Nestle Cerelac Wheat Mixed Fruit 3 Stage Infant Cere 350 g, Nestle, Infant Cereal, 350 g, 202, 0
Nestle Cerelac Fortified Baby Meal With Milk Wheat Apple Cherry Stage 2 300 g, Nestle, Infant Cereal, 300 g, 187, 0
Nestle Cerelac Wheat 1 Stage Infant Cereal 300 g, Nestle, Infant Cereal, 300 g, 155, 0
Nestle Cerelac Fortified Baby Meal With Milk Wheat Apple 1 Stage 300 g, Nestle, Infant Cereal, 300 g, 168, 0
Nestle Cerelac Wheat Mixed Vegetable 3 Stage Infant 350 g, Nestle, Infant Cereal, 350 g, 202, 0
Nestle Cerelac Rice 1 Stage Infant Cereal 300 g, Nestle, Infant Cereal, 300 g, 160, 0
Complan Nutri-Gro Badam Kheer 400 g, Complan, Infant Cereal, 400 g, 275, 0
Amulspray Infant Milk Food Tetra Pack 200 g, Amulspray, Infant Cereal, 200 g, 73, 0
Amulspray Infant Milk Food Pouch 1 Kg, Amulspray, Infant Cereal, 1 Kg, 340, 0
Amulspray Infant Milk Food Tin 500 g, Amulspray, Infant Cereal, 500 g, 185, 0
Nestle Lactogen 1 No. 400 g, Nestle, Infant Cereal, 400 g, 285, 0
Fresh Coconut Regular 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 20, 0
Fresh Beetroot 500 g, Fresh, Fresh Vegetables, 500 g, 21, 0
Fresh Mint Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7.5, 0
Fresh Bitter Gourd 750 g, Fresh, Fresh Vegetables, 750 g, 45, 0
Fresh Garlic Whole Regular 300 g, Fresh, Fresh Vegetables, 300 g, 45, 0
Fresh Green Peas 500 g, Fresh, Fresh Vegetables, 500 g, 110, 0
Fresh Basket Broccoli 500 g, Fresh Basket, Fresh Vegetables, 500 g, 120, 0
Fresh Colacasia Arvi Roots 250 g, Fresh, Fresh Vegetables, 250 g, 17, 0
Fresh Gooseberry Indian Amla 250 g, Fresh, Fresh Vegetables, 250 g, 30, 0
Fresh Mushroom Button Unit Pack 1 pc, Fresh, Fresh Vegetables, 1 pc, 46, 0
Fresh Cluster Beans 250 g, Fresh, Fresh Vegetables, 250 g, 14.5, 0
Fresh Basket Potato 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 28, 0
Fresh Brinjal Long White 500 g, Fresh, Fresh Vegetables, 500 g, 19, 0
Fresh Drumsticks 250 g, Fresh, Fresh Vegetables, 250 g, 20, 0
Fresh Amranths Red Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7, 0
Fresh Pointer Gourd (Parval) 500 g, Fresh, Fresh Vegetables, 500 g, 60, 0
Fresh Basket Onion Packed 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 20, 0
Fresh Basket Onion Packed 5 Kg, Fresh Basket, Fresh Vegetables, 5 Kg, 95, 0
Fresh Avocado 500 g, Fresh, Fresh Vegetables, 500 g, 160, 0
Fresh European (English) Cucumber 500 g, Fresh, Fresh Vegetables, 500 g, 24, 0
Fresh Snake Gourd 500 g, Fresh, Fresh Vegetables, 500 g, 27, 0
