Full Name, Brand, Category Name, Properties, MRP, Discount
Vicks Vaporub 25 ml, Vicks, Pain Relief, 25 ml, 60, 0
Vicks Vaporub 50 ml, Vicks, Pain Relief, 50 ml, 110, 0
Vicks Vaporub 110 ml, Vicks, Pain Relief, 110 ml, 199, 0
Moov Pain Specialist 25 g, Moov, Pain Relief, 25 g, 67, 0
Moov Pain Specialist 50 g, Moov, Pain Relief, 50 g, 120, 0
Moov Pain Specialist Spray 35 g, Moov, Pain Relief, 35 g, 97, 0
Amrutanjan Strong Pain Balm 30 ml, Amrutanjan, Pain Relief, 30 ml, 75, 0
Amrutanjan Strong Pain Balm 60 ml, Amrutanjan, Pain Relief, 60 ml, 105, 0
Iodex Fast Relief Multi Purpose Pain Balm 18 g, Iodex, Pain Relief, 18 g, 55, 0
Iodex Fast Relief Multi Purpose Pain Balm 45 g, Iodex, Pain Relief, 45 g, 97, 0
Zandu Balm 25 ml, Zandu, Pain Relief, 25 ml, 80, 0
Tiger Balm 18 ml, Tiger, Pain Relief, 18 ml, 65, 0
Amrutanjan Aromatic Balm 30 ml, Amrutanjan, Pain Relief, 30 ml, 80, 0
Amrutanjan Aromatic Balm 60 ml, Amrutanjan, Pain Relief, 60 ml, 110, 0
Zandu Gel Balm Junior 8 ml, Zandu, Pain Relief, 8 ml, 30, 0
Moov Spray Pain Relief Specialist 80 g, Moov, Pain Relief, 80 g, 175, 0
Palmers Choco Butter Massage Lotion For Stretch Marks 315 ml, Palmers, Pain Relief, 315 ml, 425, 0
Tiger Balm White Ointment 18 g, Tiger, Pain Relief, 18 g, 65, 0
Amrutanjan Joint & Muscle Kick Out Pain Spray 30 g, Amrutanjan, Pain Relief, 30 g, 75, 0
Amrutanjan Joint & Muscle Kick Out Pain Spray 80 g, Amrutanjan, Pain Relief, 80 g, 130, 0
Vicks Inhaler 0.5 ml, Vicks, Pain Relief, 0.5 ml, 43, 0
Amrutanjan Back Pain Roll On 50 ml, Amrutanjan, Pain Relief, 50 ml, 110, 0
Himalaya Pain Relief Oil 100 ml, Himalaya, Pain Relief, 100 ml, 100, 0
Palmers Cocoa Butter Tightens Skin Firms & Tones 315 ml, Palmers, Pain Relief, 315 ml, 520, 0
Himani Fast Relief Tube 45 ml, Himani, Pain Relief, 45 ml, 105, 0
Palmers Cocoa Butter Massage Cream For Stretch Marks 125 g, Palmers, Pain Relief, 125 g, 425, 0
Palmers Cocoa Butter Skin Therapy Oil 150 ml, Palmers, Pain Relief, 150 ml, 890, 0
Fresh Coconut Regular 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 20, 0
Fresh Beetroot 500 g, Fresh, Fresh Vegetables, 500 g, 21, 0
Fresh Mint Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7.5, 0
Fresh Bitter Gourd 750 g, Fresh, Fresh Vegetables, 750 g, 45, 0
Fresh Garlic Whole Regular 300 g, Fresh, Fresh Vegetables, 300 g, 45, 0
Fresh Green Peas 500 g, Fresh, Fresh Vegetables, 500 g, 110, 0
Fresh Basket Broccoli 500 g, Fresh Basket, Fresh Vegetables, 500 g, 120, 0
Fresh Colacasia Arvi Roots 250 g, Fresh, Fresh Vegetables, 250 g, 17, 0
Fresh Gooseberry Indian Amla 250 g, Fresh, Fresh Vegetables, 250 g, 30, 0
Fresh Mushroom Button Unit Pack 1 pc, Fresh, Fresh Vegetables, 1 pc, 46, 0
Fresh Cluster Beans 250 g, Fresh, Fresh Vegetables, 250 g, 14.5, 0
Fresh Basket Potato 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 28, 0
Fresh Brinjal Long White 500 g, Fresh, Fresh Vegetables, 500 g, 19, 0
Fresh Drumsticks 250 g, Fresh, Fresh Vegetables, 250 g, 20, 0
Fresh Amranths Red Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7, 0
Fresh Pointer Gourd (Parval) 500 g, Fresh, Fresh Vegetables, 500 g, 60, 0
Fresh Basket Onion Packed 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 20, 0
Fresh Basket Onion Packed 5 Kg, Fresh Basket, Fresh Vegetables, 5 Kg, 95, 0
Fresh Avocado 500 g, Fresh, Fresh Vegetables, 500 g, 160, 0
Fresh European (English) Cucumber 500 g, Fresh, Fresh Vegetables, 500 g, 24, 0
Fresh Snake Gourd 500 g, Fresh, Fresh Vegetables, 500 g, 27, 0
