Full Name, Brand, Category Name, Properties, MRP, Discount
Faber Castell Ole Grip Super Dark Pencils 1 pc, Faber Castell, Pencil, 1 pc, 50, 0
Faber Castell Matt Grip Super Dark Pencils 1 pc, Faber Castell, Pencil, 1 pc, 50, 0
Camlin Flora NRT Pencil Pack of 10 Nos 1 Pc, Camlin, Pencil, 1 Pc, 40, 0
ITC Classmate Pencil Eraser Pack of 5 Nos 1 Pc, ITC Classmate, Pencil, 1 Pc, 15, 0
Faber Castell 10 Trenz Superdark Pencils 10 Nos, Faber Castell, Pencil, 10 Nos, 70, 0
ITC Classmate Carbon Black Pencils Pack of 10 Nos 1 Pc, ITC Classmate, Pencil, 1 Pc, 50, 0
Luxor Mechanical Pencils Pack of 12 Nos 1 Pc, Luxor, Pencil, 1 Pc, 40, 0
Faber Castell 12 Tri Colour Pencils 118012 1 pc, Faber Castell, Pencil, 1 pc, 105, 0
Linc Twin Ball Pen + Pencil Pack of 5 Blue 1 pc, Linc, Pencil, 1 pc, 50, 0
Artline Jido Mechanical Pencil 0.7 mm 1 Pc, Artline, Pencil, 1 Pc, 40, 0
Disney Power Rangers Pencils Characters 1 Pc, Disney, Pencil, 1 Pc, 59, 0
Camlin Try Mech Pack Mechanical Pencils 1 Pc, Camlin, Pencil, 1 Pc, 59, 0
Camlin Drawing Pencils Asst 6 Nos + 1 Twin Sharpener 1 Pc, Camlin, Pencil, 1 Pc, 45, 0
Camlin Double 0.7mm Klick Pencil 1 Pc, Camlin, Pencil, 1 Pc, 30, 0
Camlin Premium Full Size Colour Pencil 12 Pc, Camlin, Pencil, 12 Pc, 50, 0
Camlin Premium Full Size Colour Pencil 12 Shades 1 Pc, Camlin, Pencil, 1 Pc, 100, 0
Artline Ergo Mate Tri Pencils 1 Pc, Artline, Pencil, 1 Pc, 50, 0
Artline Black Beauty Pencil Pack of 10 Nos 1 Pc, Artline, Pencil, 1 Pc, 70, 0
Artline Sketch Pencils Pack of 6 Nos 1 Pc, Artline, Pencil, 1 Pc, 50, 0
Artline Duo Tri Art Color Pencils 12 Nos, Artline, Pencil, 12 Nos, 100, 0
Artline Duo Tri Art Color Pencils 20 Nos, Artline, Pencil, 20 Nos, 200, 0
Fresh Coconut Regular 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 20, 0
Fresh Beetroot 500 g, Fresh, Fresh Vegetables, 500 g, 21, 0
Fresh Mint Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7.5, 0
Fresh Bitter Gourd 750 g, Fresh, Fresh Vegetables, 750 g, 45, 0
Fresh Garlic Whole Regular 300 g, Fresh, Fresh Vegetables, 300 g, 45, 0
Fresh Green Peas 500 g, Fresh, Fresh Vegetables, 500 g, 110, 0
Fresh Basket Broccoli 500 g, Fresh Basket, Fresh Vegetables, 500 g, 120, 0
Fresh Colacasia Arvi Roots 250 g, Fresh, Fresh Vegetables, 250 g, 17, 0
Fresh Gooseberry Indian Amla 250 g, Fresh, Fresh Vegetables, 250 g, 30, 0
Fresh Mushroom Button Unit Pack 1 pc, Fresh, Fresh Vegetables, 1 pc, 46, 0
Fresh Cluster Beans 250 g, Fresh, Fresh Vegetables, 250 g, 14.5, 0
Fresh Basket Potato 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 28, 0
Fresh Brinjal Long White 500 g, Fresh, Fresh Vegetables, 500 g, 19, 0
Fresh Drumsticks 250 g, Fresh, Fresh Vegetables, 250 g, 20, 0
Fresh Amranths Red Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7, 0
Fresh Pointer Gourd (Parval) 500 g, Fresh, Fresh Vegetables, 500 g, 60, 0
Fresh Basket Onion Packed 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 20, 0
Fresh Basket Onion Packed 5 Kg, Fresh Basket, Fresh Vegetables, 5 Kg, 95, 0
Fresh Avocado 500 g, Fresh, Fresh Vegetables, 500 g, 160, 0
Fresh European (English) Cucumber 500 g, Fresh, Fresh Vegetables, 500 g, 24, 0
Fresh Snake Gourd 500 g, Fresh, Fresh Vegetables, 500 g, 27, 0
Fresh Suran (Elephant Yam) 300 g, Fresh, Fresh Vegetables, 300 g, 16.5, 0
Fresh Radish Red 250 g, Fresh, Fresh Vegetables, 250 g, 14.5, 0
Fresh Banana Flower 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 15, 0
Fresh Turnip 250 g, Fresh, Fresh Vegetables, 250 g, 27.5, 0
Fresh Banana Stem 1 pc, Fresh, Fresh Vegetables, 1 pc, 15, 0
Fresh Lettuce Iceberg 500 g, Fresh, Fresh Vegetables, 500 g, 80, 0
Fresh Basket Zucchini Green 350 g, Fresh Basket, Fresh Vegetables, 350 g, 42, 0
Fresh Local Cucumber 500 g, Fresh, Fresh Vegetables, 500 g, 31, 0
Fresh Kappa 500 g, Fresh, Fresh Vegetables, 500 g, 18, 0
Fresh Tinda 250 g, Fresh, Fresh Vegetables, 250 g, 30, 0
Fresh Baby Corn 500 g, Fresh, Fresh Vegetables, 500 g, 85, 0
Fresh Lotus Root 100 g, Fresh, Fresh Vegetables, 100 g, 29, 0
Fresh Basket Zucchini Yellow 250 g, Fresh Basket, Fresh Vegetables, 250 g, 35, 0
Fresh Onion Madras 1 Kg, Fresh, Fresh Vegetables, 1 Kg, 105, 0
Fresh Basket Celery (Indian) 500 g, Fresh Basket, Fresh Vegetables, 500 g, 47.5, 0
Fresh Basket Cucumber American Zero Pesticide 500 g, Fresh Basket, Fresh Vegetables, 500 g, 24.5, 0
Healthy Sweet Corn Peri Peri 1 Pc, Healthy, Fresh Vegetables, 1 Pc, 35, 0
Fresh Chilli Small Round 250 g, Fresh, Fresh Vegetables, 250 g, 55, 0
Fresh Basket Chinese Cabbage 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 95, 0
Fresh Basket Bitter Gourd Mini Zero Pesticide 250 g, Fresh Basket, Fresh Vegetables, 250 g, 14.75, 0
