Full Name, Brand, Category Name, Properties, MRP, Discount
Baba Ramdev Patanjali Herbal Shaving Cream 100 g, Baba Ramdev Patanjali, Shaving Cream, 100 g, 55, 0
Old Spice Lather Fresh Lime Shaving Cream 70 g, Old Spice, Shaving Cream, 70 g, 65, 0
Gillette Series Ultra Comfort Shaving Cream 60 g, Gillette, Shaving Cream, 60 g, 79, 0
Dettol Fresh Lather Shaving Cream 70 g, Dettol, Shaving Cream, 70 g, 69, 0
Park Avenue Re Gen Shaving Cream 70 g, Park Avenue, Shaving Cream, 70 g, 63, 0
Axe Denim Lather Shaving Cream 60 g, Axe, Shaving Cream, 60 g, 70, 0
Palmolive Refreshing Lemon Shave Cream 70 g, Palmolive, Shaving Cream, 70 g, 65, 0
Old Spice Lather Shaving Cream Musk 70 g, Old Spice, Shaving Cream, 70 g, 65, 0
Old Spice Lather Shaving Cream Original 70 g, Old Spice, Shaving Cream, 70 g, 65, 0
Nivea For Men Replenishing  Shave Balm 100 ml, Nivea, Shaving Cream, 100 ml, 235, 0
Park Avenue Cool Blue Lather Shaving Cream Menthol 70 g, Park Avenue, Shaving Cream, 70 g, 63, 0
Yardley Shaving Cream Elegance 70 g, Yardley, Shaving Cream, 70 g, 60, 0
Yardley Gold Shaving Cream 70 g, Yardley, Shaving Cream, 70 g, 60, 0
