Full Name, Brand, Category Name, Properties, MRP, Discount
Gillette Series Shave Gel Sensitive Skin 60 g, Gillette, Shaving Gel, 60 g, 79, 0
Gillette Series Shave Gel Moisturizing 60 g, Gillette, Shaving Gel, 60 g, 79, 0
Gillette Fusion Hydra Gel Sensitive Skin 75 ml, Gillette, Shaving Gel, 75 ml, 129, 0
Gillette Fusion Hydra Gel Sensitive Skin 195 g, Gillette, Shaving Gel, 195 g, 375, 0
Nivea Sensitive Active Comfort Shaving Gel 200 ml, Nivea, Shaving Gel, 200 ml, 275, 0
Gillette Series Conditioning Skin Revitalisant Gel 196g, Gillette, Shaving Gel, 196g, 329, 0
Gillette Mach3 Irritation 5 Defence Soothing Shave Gel 195 g, Gillette, Shaving Gel, 195 g, 269, 0
Gillette Series Extra Comfort Shave Gel 196 g, Gillette, Shaving Gel, 196 g, 329, 0
Nivea Extra Moisture Ultra Glide Shaving Gel 200 ml, Nivea, Shaving Gel, 200 ml, 275, 0
Gillette Satin Care With Aloe Vera Sensitive Skin Shave Gel 195 g, Gillette, Shaving Gel, 195 g, 225, 0
Nivea Men Sensitive Cool Shaving Gel 200 ml, Nivea, Shaving Gel, 200 ml, 285, 0
Gillette Fusion Pure & Sensitive Gel 195 g, Gillette, Shaving Gel, 195 g, 375, 0
Gatsby Anti Septic Protecting Body Shower Gel 600 ml, Gatsby, Shaving Gel, 600 ml, 250, 0
Gillette Hydra Gel Ultra Protection 195 g, Gillette, Shaving Gel, 195 g, 375, 0
Gillette Pure & Sensitive Gel 195 g, Gillette, Shaving Gel, 195 g, 329, 0
