Full Name, Brand, Category Name, Properties, MRP, Discount
Dove Moisturising Cream Soap 75 g, Dove, Soap, 75 g, 46, 0
Dove Moisturising Cream Soap 3 x 100 g, Dove, Soap, 3 x 100 g, 174, 0
Baba Ramdev Patanjali Somya Haldi Chandan Body Cleanser 75 g, Baba Ramdev Patanjali, Soap, 75 g, 13, 0
Baba Ramdev Patanjali Somya Haldi Chandan Body Cleanser 150 g, Baba Ramdev Patanjali, Soap, 150 g, 25, 0
Pears Pure and Gentle Soap 125 g, Pears, Soap, 125 g, 58, 0
Baba Ramdev Patanjali Ojas Multani Mitti Body Cleanser 75 g, Baba Ramdev Patanjali, Soap, 75 g, 35, 0
Mysore Sandal Soap 75 g, Mysore Sandal, Soap, 75 g, 33, 0
Mysore Sandal Soap 125 g, Mysore Sandal, Soap, 125 g, 55, 0
Mysore Sandal Soap 150 g, Mysore Sandal, Soap, 150 g, 65, 0
Mysore Sandal Soap 3 X 150 g, Mysore Sandal, Soap, 3 X 150 g, 190, 0
Baba Ramdev Patanjali Kanti Panchgavya Body Cleanser 75 g, Baba Ramdev Patanjali, Soap, 75 g, 13, 0
Baba Ramdev Patanjali Ojas Aquafresh Body Cleanser 75 g, Baba Ramdev Patanjali, Soap, 75 g, 24, 0
Baba Ramdev Patanjali Rose Kanti Soap 75 g, Baba Ramdev Patanjali, Soap, 75 g, 19, 0
Pears Pure and Gentle Soap 75 g, Pears, Soap, 75 g, 36, 0
Pears Pure and Gentle Soap 3 X 125 g, Pears, Soap, 3 X 125 g, 168, 0
Baba Ramdev Patanjali Ojas Mogra Body Cleanser 75 g, Baba Ramdev Patanjali, Soap, 75 g, 25, 0
Baba Ramdev Patanjali Lemon Honey Kanti Body Cleanser 75 g, Baba Ramdev Patanjali, Soap, 75 g, 19, 0
Dove Fresh Moisture Soap 75 g, Dove, Soap, 75 g, 46, 0
Dove Fresh Moisture Soap 3 X 75 g, Dove, Soap, 3 X 75 g, 111, 0
Medimix Hand Made Ayurvedic Soap 115 g, Medimix, Soap, 115 g, 33, 0
Medimix Hand Made Ayurvedic Soap 3 x 125 g, Medimix, Soap, 3 x 125 g, 90, 0
Pears Germshield Soap 75 g, Pears, Soap, 75 g, 36, 0
Pears Germshield Soap 125 g, Pears, Soap, 125 g, 58, 0
Pears Germshield Soap 4 X 125 g, Pears, Soap, 4 X 125 g, 232, 0
Dettol Original Soap 125 g, Dettol, Soap, 125 g, 44, 0
Dettol Original Soap 3x70 g, Dettol, Soap, 3x70 g, 72, 0
