Full Name, Brand, Category Name, Properties, MRP, Discount
Ponds Dream Flower Fragrant Talc 100 g, Ponds, Talcum Powder, 100 g, 65, 0
Ponds Dream Flower Fragrant Talc 400 g, Ponds, Talcum Powder, 400 g, 175, 0
Nivea Pure Talc 100 g, Nivea, Talcum Powder, 100 g, 65, 0
Nivea Pure Talc 400 g, Nivea, Talcum Powder, 400 g, 140, 0
Ponds Magic Freshness Talc 100 g, Ponds, Talcum Powder, 100 g, 70, 0
Ponds Magic Freshness Talc 400 g, Ponds, Talcum Powder, 400 g, 175, 0
Ponds Sandal Radiance Talc 100 g, Ponds, Talcum Powder, 100 g, 75, 0
Ponds Sandal Radiance Talc 300 g, Ponds, Talcum Powder, 300 g, 190, 0
Nivea Musk Talc 100 g, Nivea, Talcum Powder, 100 g, 65, 0
Nivea Musk Talc 400 g, Nivea, Talcum Powder, 400 g, 150, 0
Ponds Oil Control Talc 100 g, Ponds, Talcum Powder, 100 g, 70, 0
Ponds Oil Control Talc 350 g, Ponds, Talcum Powder, 350 g, 170, 0
Axe Pulse Cologne Talc 100 g, Axe, Talcum Powder, 100 g, 60, 0
Axe Pulse Cologne Talc 300 g, Axe, Talcum Powder, 300 g, 120, 0
Axe Denim Cologne Talc 300 g, Axe, Talcum Powder, 300 g, 120, 0
Yardley London English Lavender Talcum Powder 100 g, Yardley, Talcum Powder, 100 g, 85, 0
Yardley London English Lavender Talcum Powder 250 g, Yardley, Talcum Powder, 250 g, 145, 0
Yardley London Elegance Deodorizing Talcum Powder 100 g, Yardley, Talcum Powder, 100 g, 65, 0
Yardley London Elegance Deodorizing Talcum Powder 250 g, Yardley, Talcum Powder, 250 g, 120, 0
Yardley London Gentleman Talcum Powder 100 g, Yardley, Talcum Powder, 100 g, 85, 0
Yardley London Gentleman Talcum Powder 250 g, Yardley, Talcum Powder, 250 g, 145, 0
Enchanteur Romantic Talcum Powder 125 g, Enchanteur, Talcum Powder, 125 g, 99, 0
Enchanteur Romantic Talcum Powder 250 g, Enchanteur, Talcum Powder, 250 g, 175, 0
Dermi Cool Regular Prickly Heat Talc 150 g, Dermi Cool, Talcum Powder, 150 g, 84, 0
Cinthol Original Complexion Talc 300 g, Cinthol, Talcum Powder, 300 g, 99, 0
Premium Lavender Talc 300 g, Premium, Talcum Powder, 300 g, 130, 0
Premium Sandal Talc 600 g, Premium, Talcum Powder, 600 g, 130, 0
Nycil Cool Gulabjal Talcum Powder 150 g, Nycil, Talcum Powder, 150 g, 82, 0
Nycil Cool Gulabjal Talcum Powder 400 g, Nycil, Talcum Powder, 400 g, 131, 0
Nycil Cool Herbal With Neem & Pudina Talcum Powder 150 g, Nycil, Talcum Powder, 150 g, 82, 0
Nycil Cool Herbal With Neem & Pudina Talcum Powder 400 g, Nycil, Talcum Powder, 400 g, 140, 0
Nycil Soothing Sandal Talcum Powder 150 g, Nycil, Talcum Powder, 150 g, 82, 0
Enchanteur Charming Talcum Powder 125 g, Enchanteur, Talcum Powder, 125 g, 99, 0
Enchanteur Charming Talcum Powder 250 g, Enchanteur, Talcum Powder, 250 g, 175, 0
Fresh Coconut Regular 1 Nos, Fresh, Fresh Vegetables, 1 Nos, 20, 0
Fresh Beetroot 500 g, Fresh, Fresh Vegetables, 500 g, 21, 0
Fresh Mint Bunch 1 pc, Fresh, Fresh Vegetables, 1 pc, 7.5, 0
Fresh Bitter Gourd 750 g, Fresh, Fresh Vegetables, 750 g, 45, 0
Fresh Garlic Whole Regular 300 g, Fresh, Fresh Vegetables, 300 g, 45, 0
Fresh Green Peas 500 g, Fresh, Fresh Vegetables, 500 g, 110, 0
Fresh Basket Broccoli 500 g, Fresh Basket, Fresh Vegetables, 500 g, 120, 0
Fresh Colacasia Arvi Roots 250 g, Fresh, Fresh Vegetables, 250 g, 17, 0
Fresh Gooseberry Indian Amla 250 g, Fresh, Fresh Vegetables, 250 g, 30, 0
Fresh Mushroom Button Unit Pack 1 pc, Fresh, Fresh Vegetables, 1 pc, 46, 0
Fresh Cluster Beans 250 g, Fresh, Fresh Vegetables, 250 g, 14.5, 0
Fresh Basket Potato 1 Kg, Fresh Basket, Fresh Vegetables, 1 Kg, 28, 0
Fresh Brinjal Long White 500 g, Fresh, Fresh Vegetables, 500 g, 19, 0
Fresh Drumsticks 250 g, Fresh, Fresh Vegetables, 250 g, 20, 0
