Full Name, Brand, Category Name, Properties, MRP, Discount
Baba Ramdev Patanjali Dant Kanti Dental Cream 100 g, Baba Ramdev Patanjali, Toothpaste, 100 g, 40, 0
Baba Ramdev Patanjali Dant Kanti Dental Cream 200 g, Baba Ramdev Patanjali, Toothpaste, 200 g, 75, 0
Colgate Strong Teeth Toothpaste 100 g, Colgate, Toothpaste, 100 g, 46, 0
Colgate Strong Teeth Toothpaste 150 g, Colgate, Toothpaste, 150 g, 62, 0
Colgate Strong Teeth Toothpaste 200 g, Colgate, Toothpaste, 200 g, 82, 0
Colgate Strong Teeth Toothpaste 300 g, Colgate, Toothpaste, 300 g, 126, 0
Colgate Strong Teeth Toothpaste 400 g, Colgate, Toothpaste, 400 g, 168, 0
Colgate Strong Teeth Toothpaste 600 g, Colgate, Toothpaste, 600 g, 252, 0
Dabur Red Toothpaste 100 g, Dabur, Toothpaste, 100 g, 47, 0
Dabur Red Toothpaste 200 g, Dabur, Toothpaste, 200 g, 88, 0
Dabur Red Toothpaste 2 X 200 g, Dabur, Toothpaste, 2 X 200 g, 176, 0
Colgate Max Fresh Red Gel Toothpaste 80 g, Colgate, Toothpaste, 80 g, 47, 0
Colgate Max Fresh Red Gel Toothpaste 150 g, Colgate, Toothpaste, 150 g, 88, 0
Colgate Max Fresh Red Gel Toothpaste 2 X 150 g, Colgate, Toothpaste, 2 X 150 g, 176, 0
Close Up Active Gel Red Hot Toothpaste 80 g, Close Up, Toothpaste, 80 g, 45, 0
Close Up Active Gel Red Hot Toothpaste 150 g, Close Up, Toothpaste, 150 g, 82, 0
Colgate Active Salt Toothpaste 100 g, Colgate, Toothpaste, 100 g, 48, 0
Colgate Active Salt Toothpaste 200 g, Colgate, Toothpaste, 200 g, 91, 0
Pepsodent 2 in 1 Germi Check Toothpaste 80 g, Pepsodent, Toothpaste, 80 g, 47, 0
Pepsodent 2 in 1 Germi Check Toothpaste 150 g, Pepsodent, Toothpaste, 150 g, 90, 0
Pepsodent 2 in 1 Germi Check Toothpaste 2 X 150 g, Pepsodent, Toothpaste, 2 X 150 g, 104, 0
Sensodyne Fresh Gel Toothpaste 80 g, Sensodyne, Toothpaste, 80 g, 100, 0
Sensodyne Fresh Gel Toothpaste 130 g, Sensodyne, Toothpaste, 130 g, 160, 0
